,Name,Symbol,Element_category,Phase,Group_block
1,Hydrogen,H,diatomic nonmetal,gas,s-block
2,Helium,He,noble gas,gas,s-block
3,Lithium,Li,alkali metal,solid,s-block
4,Beryllium,Be,alkaline earth metal,solid,s-block
5,Boron,B,metalloid,solid,p-block
6,Carbon,C,polyatomic nonmetal,solid,p-block
7,Nitrogen,N,diatomic nonmetal,gas,p-block
8,Oxygen,O,diatomic nonmetal,gas,p-block
9,Fluorine,F,diatomic nonmetal,gas,p-block
10,Neon,Ne,noble gas,gas,p-block
11,Sodium,Na,alkali metal,solid,s-block
12,Magnesium,Mg,alkaline earth metal,solid,s-block
13,Aluminum,Al,post-transition metal,solid,p-block
14,Silicon,Si,metalloid,solid,p-block
15,Phosphorus,P,polyatomic nonmetal,solid,p-block
16,Sulfur,S,polyatomic nonmetal,solid,p-block
17,Chlorine,Cl,diatomic nonmetal,gas,p-block
18,Argon,Ar,noble gas,gas,p-block
19,Potassium,K,alkali metal,solid,s-block
20,Calcium,Ca,alkaline earth metal,solid,s-block
21,Scandium,Sc,transition metal,solid,d-block
22,Titanium,Ti,transition metal,solid,d-block
23,Vanadium,V,transition metal,solid,d-block
24,Chromium,Cr,transition metal,solid,d-block
25,Manganese,Mn,transition metal,solid,d-block
26,Iron,Fe,transition metal,solid,d-block
27,Cobalt,Co,transition metal,solid,d-block
28,Nickel,Ni,transition metal,solid,d-block
29,Copper,Cu,transition metal,solid,d-block
30,Zinc,Zn,transition metal,solid,d-block
31,Gallium,Ga,post-transition metal,solid,p-block
32,Germanium,Ge,metalloid,solid,p-block
33,Arsenic,As,metalloid,solid,p-block
34,Selenium,Se,polyatomic nonmetal,solid,p-block
35,Bromine,Br,diatomic nonmetal,liquid,p-block
36,Krypton,Kr,noble gas,gas,p-block
37,Rubidium,Rb,alkali metal,solid,s-block
38,Strontium,Sr,alkaline earth metal,solid,s-block
39,Yttrium,Y,transition metal,solid,d-block
40,Zirconium,Zr,transition metal,solid,d-block
41,Niobium,Nb,transition metal,solid,d-block
42,Molybdenum,Mo,transition metal,solid,d-block
43,Technetium,Tc,transition metal,solid,d-block
44,Ruthenium,Ru,transition metal,solid,d-block
45,Rhodium,Rh,transition metal,solid,d-block
46,Palladium,Pd,transition metal,solid,d-block
47,Silver,Ag,transition metal,solid,d-block
48,Cadmium,Cd,transition metal,solid,d-block
49,Indium,In,post-transition metal,solid,p-block
50,Tin,Sn,post-transition metal,solid,p-block
51,Antimony,Sb,metalloid,solid,p-block
52,Tellurium,Te,metalloid,solid,p-block
53,Iodine,I,diatomic nonmetal,solid,p-block
54,Xenon,Xe,noble gas,gas,p-block
55,Cesium,Cs,alkali metal,solid,s-block
56,Barium,Ba,alkaline earth metals,solid,s-block
57,Lanthanum,La,lanthanide,solid,f-block
58,Cerium,Ce,lanthanide,solid,f-block
59,Praseodymium,Pr,lanthanide,solid,f-block
60,Neodymium,Nd,lanthanide,solid,f-block
61,Promethium,Pm,lanthanide,solid,f-block
62,Samarium,Sm,lanthanide,solid,f-block
63,Europium,Eu,lanthanide,solid,f-block
64,Gadolinium,Gd,lanthanide,solid,f-block
65,Terbium,Tb,lanthanide,solid,f-block
66,Dysprosium,Dy,lanthanide,solid,f-block
67,Holmium,Ho,lanthanide,solid,f-block
68,Erbium,Er,lanthanide,solid,f-block
69,Thulium,Tm,lanthanide,solid,f-block
70,Ytterbium,Yb,lanthanide,solid,f-block
71,Lutetium,Lu,lanthanide,solid,d-block
72,Hafnium,Hf,transition metal,solid,d-block
73,Tantalum,Ta,transition metal,solid,d-block
74,Tungsten,W,transition metal,solid,d-block
75,Rhenium,Re,transition metal,solid,d-block
76,Osmium,Os,transition metal,solid,d-block
77,Iridium,Ir,transition metal,solid,d-block
78,Platinum,Pt,transition metal,solid,d-block
79,Gold,Au,transition metal,solid,d-block
80,Mercury,Hg,transition metal,liquid,d-block
81,Thallium,Tl,post-transition metal,solid,p-block
82,Lead,Pb,post-transition metal,solid,p-block
83,Bismuth,Bi,post-transition metal,solid,p-block
84,Polonium,Po,post-transition metal,solid,p-block
85,Astatine,At,metalloid,solid,p-block
86,Radon,Rn,noble gas,gas,p-block
87,Francium,Fr,alkali metal,solid,s-block
88,Radium,Ra,alkaline earth metal,solid,s-block
89,Actinium,Ac,actinide,solid,f-block
90,Thorium,Th,actinide,solid,f-block
91,Protactinium,Pa,actinide,solid,f-block
92,Uranium,U,actinide,solid,f-block
93,Neptunium,Np,actinide,solid,f-block
94,Plutonium,Pu,actinide,solid,f-block
95,Americium,Am,actinide,solid,f-block
96,Curium,Cm,actinide,solid,f-block
97,Berkelium,Bk,actinide,solid,f-block
98,Californium,Cf,actinide,solid,f-block
99,Einsteinium,Es,actinide,solid,f-block
100,Fermium,Fm,actinide,solid (predicted),f-block
101,Mendelevium,Md,actinide,solid (predicted),f-block
102,Nobelium,No,actinide,solid (predicted),f-block
103,Lawrencium,Lr,actinide,solid (predicted),d-block
104,Dubnium,Db,transition metal,solid (predicted),d-block
105,Seaborgium,Sg,transition metal,solid (predicted),d-block
106,Bohrium,Bh,transition metal,solid (predicted),d-block
107,Hassium,Hs,transition metal,solid (predicted),d-block
108,Meitnerium,Mt,unknown,solid (predicted),d-block
109,Darmstadtium,Ds,unknown,solid (predicted),d-block
110,Roentgenium,Rg,unknown,solid (predicted),d-block
111,Ununbium,Uub,transition metal,gas (predicted),d-block
112,Ununtrium,Uut,unknown,solid (predicted),p-block
113,Ununquadium,Uuq,post-transition metal,solid (predicted),p-block
114,Ununpentium,Uup,unknown,solid (predicted),p-block
115,Ununhexium,Uuh,unknown,solid (predicted),p-block
116,Ununseptium,Uus,unknown,solid (predicted),p-block
117,Ununoctium,Uuo,unknown,solid (predicted),p-block
